rainfall_mm,temperature_c,humidity_pct,pressure_hpa,wind_speed_ms,soil_moisture_pct,elevation_m,slope_deg,vegetation_index,drainage_density,distance_to_river_km,antecedent_rainfall_mm,risk_class
0,30.3,65.9,1018,9.8,69.7,162,12.8,0.226,3.82,8.69,86,Low
46.7,25.2,86.4,1011.4,7.2,57.2,676,8.8,0.933,2.19,0.1,0,Medium
24.4,32.5,24.6,1008.7,12.8,77.1,551,33.7,0.112,2.58,9.95,129.8,Medium
74.5,14.8,66.4,990,6.3,28.9,394,15.1,0.503,2.59,7.87,0,Low
62.6,16.6,47.8,1017.3,16.5,49.9,784,11.8,0.474,1.95,5.09,152.2,Medium
106.1,37.4,48.7,1019.5,17.6,78.9,130,31.5,0.331,2.43,7.97,29.3,Medium
70.1,28.7,61.4,990,7.8,56.1,250,21.7,0.449,2.89,0.95,0,Medium
16.8,37.4,80.2,1011.8,9.6,70.3,233,2.7,0.659,1.67,5.24,204.6,Medium
37,39.2,65.2,1018.4,8,76.1,320,4.7,0.56,3.65,9.9,90,Low
0,29.6,98,1008.2,10.5,74.2,352,15.6,0.828,5.04,5.44,200,Medium
51.7,23.1,46.6,994.8,0,62.4,556,28.8,0.184,4.65,8.27,198.1,Medium
119.5,19.9,67.6,1008.8,11.2,100,277,14.2,0.737,2.9,5.27,47.9,Medium
14.8,32.8,70.5,1010.1,10.7,43.6,485,35.1,0.232,3.41,4.28,240.1,Medium
27.7,26.9,66.8,1025,0.8,38.3,462,15.3,0.536,1.77,6.84,172.6,Medium
63.2,11.5,75.1,1003.4,7.4,71.6,230,16,0.54,5.77,11.11,86.2,Medium
62.8,37.4,41.8,1028.6,8.5,38.8,360,26.9,0.255,3.67,10.45,162.6,Medium
30,17.8,65.1,1011.7,5.3,41.4,576,12.4,0.474,3.28,3.21,112.4,Low
29.8,22.8,58,1010.6,8,55.1,539,34.5,0.346,1.26,3.39,66.6,Medium
4.4,17.8,83.9,1005.6,8.1,69.2,258,18.6,0.572,1.12,5.4,6.9,Low
11.4,33.9,100,1001.8,10.7,72.9,308,36.7,0.414,1.1,4.25,46.1,Medium
44.1,34.5,83.6,1018.4,1.3,57.8,600,0,0.784,1.46,11.47,127.6,Medium
43.2,23.2,87.1,1017.6,5.2,21.7,609,27.4,0.322,2.99,2.5,153.2,Medium
35.8,30.1,64.1,1019.1,18,56.3,235,24.6,0.626,3.65,3.94,63.8,Low
46.5,14.4,75.8,1012.3,8.7,21,289,24.9,0.609,2.29,1.61,15.8,Medium
10.4,31.9,100,1027.4,5.1,43.7,651,0,0.639,3.56,10.23,64.8,Low
47.4,19.6,58.3,1011.3,11.6,41.7,0,28.4,0.479,2.99,3.6,20.6,Low
0,27.9,75.6,1025.6,1.8,32.3,775,35,0.496,1.8,3.95,43.8,Low
